TN Title,studio,genres,TN Worlwide Gross,TN Domestic Gross,Computed Foreign Gross,TN Budget / Cost,Computed_Profit_Loss,year,release_date
Killer Joe,LD,"Crime,Drama,Thriller",4659110,1291645,3367465,10000000,-5340890,2012,27-Jul-12
The Rover,A24,"Action,Crime,Drama",3180252,1109199,2071053,8500000,-5319748,2014,13-Jun-14
Destroyer,Annapurna,"Action,Crime,Drama",3681096,1533324,2147772,9000000,-5318904,2018,25-Dec-18
"Jeff, Who Lives at Home",ParV,"Comedy,Drama",4708127,4269426,438701,10000000,-5291873,2012,16-Mar-12
Freeheld,LGF,"Biography,Drama,Romance",1732228,546201,1186027,7000000,-5267772,2015,2-Oct-15
Inherent Vice,WB,"Comedy,Crime,Drama",14772346,8110975,6661371,20000000,-5227654,2014,12-Dec-14
A Dangerous Method,SPC,"Biography,Drama,Romance",14807531,5702083,9105448,20000000,-5192469,2011,23-Nov-11
Dom Hemingway,FoxS,"Comedy,Crime,Drama",1857458,523511,1333947,7000000,-5142542,2014,2-Apr-14
Mandela: Long Walk to Freedom,Wein.,"Biography,Drama,History",29890402,8323085,21567317,35000000,-5109598,2013,29-Nov-13
The Christmas Candle,ELS,"Drama,Family",1933829,1632000,301829,7000000,-5066171,2013,15-Nov-13
Queen of Katwe,BV,"Biography,Drama,Sport",10055481,8874389,1181092,15000000,-4944519,2016,23-Sep-16
Early Man,LGF,"Adventure,Animation,Comedy",45285890,8267544,37018346,50000000,-4714110,2018,16-Feb-18
The Incredible Burt Wonderstone,WB (NL),"Adventure,Comedy,Fantasy",27392609,22537881,4854728,32000000,-4607391,2013,15-Mar-13
Killer Elite,ORF,"Action,Crime,Thriller",65409046,25124986,40284060,70000000,-4590954,2011,23-Sep-11
Mandy,RLJ,"Action,Fantasy,Horror",1427656,1214525,213131,6000000,-4572344,2018,14-Sep-18
Mandy,RLJ,"Drama,Thriller",1427656,1214525,213131,6000000,-4572344,2018,14-Sep-18
Falcon Rising,Free,"Action,Adventure",11774,11774,0,4500000,-4488226,2014,4-Sep-14
Rudderless,Gold.,"Comedy,Drama,Music",567219,56001,511218,5000000,-4432781,2014,17-Oct-14
The Runaways,App.,Adventure,5278632,3573673,1704959,9500000,-4221368,2010,19-Mar-10
The Runaways,App.,"Biography,Drama,Music",5278632,3573673,1704959,9500000,-4221368,2010,19-Mar-10
Life During Wartime,IFC,"Documentary,History",281447,281447,0,4500000,-4218553,2010,23-Jul-10
Regression,W/Dim.,"Crime,Horror,Mystery",15824374,55039,15769335,20000000,-4175626,2016,30-Oct-15
White Boy Rick,Studio 8,"Crime,Drama",25947983,24004833,1943150,30000000,-4052017,2018,14-Sep-18
Father Figures,WB,"Adventure,Comedy,Drama",21038441,17501244,3537197,25000000,-3961559,2017,22-Dec-17
Father Figures,WB,Documentary,21038441,17501244,3537197,25000000,-3961559,2017,22-Dec-17
13 Sins,RTWC,"Horror,Thriller",47552,9134,38418,4000000,-3952448,2014,18-Apr-14
The Neon Demon,BG,"Horror,Thriller",3559803,1333124,2226679,7500000,-3940197,2016,24-Jun-16
Ain't Them Bodies Saints,IFC,"Crime,Drama,Romance",1075009,391611,683398,5000000,-3924991,2013,16-Aug-13
Gotti,VE,"Biography,Crime,Drama",6089100,4286367,1802733,10000000,-3910900,2018,15-Jun-18
Never Let Me Go,FoxS,Drama,11173718,2434652,8739066,15000000,-3826282,2010,15-Sep-10
Never Let Me Go,FoxS,"Drama,Romance,Sci-Fi",11173718,2434652,8739066,15000000,-3826282,2010,15-Sep-10
Labor Day,Par.,"Drama,Romance",14189810,13371528,818282,18000000,-3810190,2014,31-Jan-14
Premium Rush,Sony,"Action,Crime,Thriller",31393201,20275446,11117755,35000000,-3606799,2012,24-Aug-12
Dredd,LGF,"Action,Crime,Sci-Fi",41467606,13414714,28052892,45000000,-3532394,2012,21-Sep-12
Maggie,RAtt.,Drama,1027760,187112,840648,4500000,-3472240,2015,8-May-15
Maggie,RAtt.,"Drama,Horror",1027760,187112,840648,4500000,-3472240,2015,8-May-15
The East,FoxS,"Adventure,Drama,Thriller",3027956,2274649,753307,6500000,-3472044,2013,31-May-13
Desert Dancer,Rela.,"Biography,Drama,Music",596335,155271,441064,4000000,-3403665,2015,10-Apr-15
Jab Tak Hai Jaan,Yash,"Drama,Romance",5806666,3047539,2759127,9200000,-3393334,2012,13-Nov-12
